Date,CCI Value,Spread,Value of Copper,NBER_Rec
1997-09-30,101.16963333333337,1.1276571855339936,2124.3936190476184,0.0
1997-10-31,101.13286666666666,0.9268612060460688,2070.8017391304343,0.0
1997-11-30,101.10726666666666,0.6000093661365762,1933.042688888889,0.0
1997-12-31,101.1024,0.5091931425560725,1759.4031090909086,0.0
1998-01-31,101.17156666666666,0.3640585053582637,1714.7671000000003,0.0
1998-02-28,101.1358,0.34204059677838394,1672.9288,0.0
1998-03-31,100.95961666666666,0.4844604888770476,1774.7209090909091,0.0
1998-04-30,100.79212333333332,0.5576571855339933,1804.1839047619044,0.0
1998-05-31,100.58640333333334,0.5156632437754958,1733.7214999999997,0.0
1998-06-30,100.37238,0.3864624177352578,1656.7367818181817,0.0
1998-07-31,100.21031333333332,0.3672594619653529,1672.9361818181821,0.0
1998-08-31,100.14735,0.3096378195482368,1617.410647619048,0.0
1998-09-30,100.11335,0.08086332987544509,1666.014095238095,0.0
1998-10-31,100.14205666666665,0.4744034788230183,1599.7533636363632,0.0
1998-11-30,100.25246,0.30834484920652905,1582.4371999999998,0.0
1998-12-31,100.39990666666664,0.14908133338539376,1471.4104363636363,0.0
1999-01-31,100.59421333333334,0.2709132690690588,1446.81,0.0
1999-02-28,100.73190333333334,0.4472361470234256,1415.8728000000003,0.0
1999-03-31,100.75281,0.677236147023426,1392.5446956521735,0.0
1999-04-30,100.7634,0.7827319591537227,1485.2231238095235,0.0
1999-05-31,100.82247333333332,0.9250044253382221,1537.1798000000006,0.0
1999-06-30,100.87607333333334,1.212376612832743,1443.3795636363639,0.0
1999-07-31,100.88915666666666,1.1231300695920725,1686.9520952380956,0.0
1999-08-31,100.92784666666668,1.0966579928075202,1679.6684,0.0
1999-09-30,100.97839666666668,1.1181946426222211,1806.9651428571426,0.0
1999-10-31,101.02030666666668,1.1212127486167571,1760.8910476190476,0.0
1999-11-30,101.13439333333332,0.8228493585712222,1749.82172,0.0
1999-12-31,101.27885666666668,0.9375542970377292,1805.5587809523813,0.0
2000-01-31,101.427,1.1925865500164994,1885.058,0.0
2000-02-29,101.48415333333332,0.8128501096634873,1824.5924200000002,0.0
2000-03-31,101.47866666666668,0.4067851072410633,1774.5074782608701,0.0
2000-04-30,101.50056666666669,0.16809357998068994,1710.9767999999997,0.0
2000-05-31,101.5207,0.4823887276869732,1832.2252727272732,0.0
2000-06-30,101.5027,0.2467851072410632,1787.5441818181819,0.0
2000-07-31,101.51513333333332,-0.0852080961959123,1862.264,0.0
2000-08-31,101.5202,-0.4411220310665769,1914.2889913043473,0.0
2000-09-30,101.50316666666667,-0.3770181079708914,2033.6858999999997,0.0
2000-10-31,101.46106666666668,-0.5520399198848658,1936.9152727272726,0.0
