,Date,Value of Copper in Dollars per Tonne
831,1962-10-23,640.262
832,1962-10-24,643.1272
833,1962-10-25,635.6336
834,1962-10-26,642.9068000000001
835,1962-10-29,631.6664000000001
836,1962-10-30,632.548
837,1962-10-31,632.9888
838,1962-11-01,635.8539999999999
839,1962-11-02,636.2948
840,1962-11-05,634.9724000000001
841,1962-11-07,636.5152
842,1962-11-08,634.3112
843,1962-11-09,633.8704
844,1962-11-12,635.1928
845,1962-11-13,634.752
846,1962-11-14,635.6336
847,1962-11-15,635.8539999999999
848,1962-11-16,636.0744000000001
849,1962-11-19,637.3968
850,1962-11-20,636.5152
851,1962-11-21,634.9724000000001
852,1962-11-23,633.4295999999999
853,1962-11-26,633.4295999999999
854,1962-11-27,631.6664000000001
855,1962-11-28,632.3276
856,1962-11-29,631.0052
857,1962-11-30,634.3112
858,1962-12-03,632.7684
859,1962-12-04,631.8868
860,1962-12-05,628.8012
861,1962-12-06,628.3604
862,1962-12-07,627.2584
863,1962-12-10,628.5808000000001
864,1962-12-11,630.5644000000001
865,1962-12-12,632.3276
866,1962-12-13,631.8868
867,1962-12-14,631.2256
868,1962-12-17,633.8704
869,1962-12-18,634.752
870,1962-12-19,634.5316
871,1962-12-20,634.0908000000001
872,1962-12-21,634.3112
873,1962-12-26,635.1928
874,1962-12-27,634.3112
875,1962-12-28,636.2948
876,1962-12-31,634.5316
877,1963-01-02,632.548
878,1963-01-03,635.4132
879,1963-01-04,636.7356
880,1963-01-07,638.4988000000001
881,1963-01-08,637.8376
882,1963-01-09,638.7192
883,1963-01-10,641.3639999999999
884,1963-01-11,643.568
885,1963-01-14,645.1108
886,1963-01-15,639.6008
887,1963-01-16,637.3968
888,1963-01-17,639.3804
889,1963-01-18,640.4824000000001
890,1963-01-21,639.6008
891,1963-01-22,641.3639999999999
892,1963-01-23,643.1272
893,1963-01-24,643.568
894,1963-01-25,644.67
895,1963-01-28,641.8048
896,1963-01-29,641.8048
897,1963-01-30,643.3475999999999
898,1963-01-31,644.0088000000001
899,1963-02-01,643.1272
900,1963-02-04,643.7884
901,1963-02-05,645.7719999999999
902,1963-02-06,645.7719999999999
903,1963-02-07,645.5516
904,1963-02-08,646.8739999999999
905,1963-02-11,647.976
906,1963-02-12,649.9596
907,1963-02-13,650.8412000000001
908,1963-02-14,647.976
909,1963-02-15,647.5352
910,1963-02-18,647.3148
911,1963-02-19,649.9596
912,1963-02-20,650.18
913,1963-02-21,650.8412000000001
914,1963-02-25,650.4004
915,1963-02-26,649.7392
916,1963-02-27,650.18
917,1963-02-28,649.7392
918,1963-03-01,648.4168000000001
919,1963-03-04,648.6372
920,1963-03-05,647.976
921,1963-03-06,647.7556
922,1963-03-07,647.3148
923,1963-03-08,645.5516
924,1963-03-11,646.8739999999999
925,1963-03-12,651.2819999999999
926,1963-03-13,650.8412000000001
927,1963-03-14,650.4004
928,1963-03-15,650.6208
929,1963-03-18,652.8248000000001
930,1963-03-19,653.2656
931,1963-03-20,654.588
932,1963-03-21,655.6899999999999
933,1963-03-22,655.2492
934,1963-03-25,654.8083999999999
935,1963-03-26,656.7919999999999
936,1963-03-27,656.1308
937,1963-03-28,658.3348000000001
938,1963-03-29,657.894
939,1963-04-01,656.7919999999999
940,1963-04-02,657.4532
941,1963-04-03,657.894
942,1963-04-04,655.6899999999999
943,1963-04-05,657.6736
944,1963-04-08,660.098
945,1963-04-09,662.9632
946,1963-04-10,660.098
947,1963-04-11,661.1999999999999
948,1963-04-15,661.1999999999999
